LEAID,district_name,total_students,num_chronically_absent_students,chronic_absentee_ratio,STATE_NAME,Am_Indian_Female,Am_Indian_Male,Am_Indian_Total,Asian_Female,Asian_Male,Asian_Total,Black_Female,Black_Male,Black_Total,Sec504_Female,Sec504_Male,Sec504_Total,Econ_Disadv_Female,Econ_Disadv_Male,Econ_Disadv_Total,Hispanic_Female,Hispanic_Male,Hispanic_Total,Homeless_Female,Homeless_Male,Homeless_Total,Eng_Learner_Female,Eng_Learner_Male,Eng_Learner_Total,Multiracial_Female,Multiracial_Male,Multiracial_Total,PI7_F,PI7_M,PI7_T,Disabilities_Female,Disabilities_Male,Disabilities_Total,White_Female,White_Male,White_Total,student_poverty_ratio,total_federal_revenue,total_state_revenue,total_local_revenue,total_expenditures,total_salaries,total_employee_benefits
100090,Anniston City,1779,418,0.235,AL,0.0,0.0,0.0,0.0,0.0,0.0,159.0,174.0,333.0,0.0,0.0,0.0,185.0,197.0,382.0,12.0,13.0,25.0,1.0,0.0,1.0,3.0,4.0,7.0,16.0,9.0,25.0,0.0,0.0,0.0,28.0,61.0,89.0,17.0,18.0,35.0,0.37470328925059343,8744000,14131000,8892000,27575000,7051000,4284000
103090,Sumter County,971,403,0.415,AL,0.0,0.0,0.0,0.0,1.0,1.0,188.0,209.0,397.0,0.0,0.0,0.0,179.0,199.0,378.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,59.0,80.0,1.0,3.0,4.0,0.37470328925059343,3766000,10160000,4732000,18438000,4736000,3331000
100100,Arab City,2550,238,0.09300000000000001,AL,1.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,73.0,95.0,168.0,1.0,6.0,7.0,3.0,3.0,6.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,0.0,1.0,18.0,38.0,56.0,103.0,116.0,219.0,0.15492957746478872,4021000,21321000,9200000,31053000,11587000,6074000
102100,Limestone County,15565,2087,0.134,AL,6.0,10.0,16.0,2.0,3.0,5.0,101.0,103.0,204.0,14.0,21.0,35.0,755.0,848.0,1603.0,156.0,148.0,304.0,20.0,30.0,50.0,66.0,61.0,127.0,38.0,28.0,66.0,0.0,0.0,0.0,169.0,334.0,503.0,673.0,819.0,1492.0,0.15492957746478872,16920000,94010000,41783000,132685000,51306000,27278000
100120,Athens City,4698,747,0.159,AL,3.0,2.0,5.0,7.0,4.0,11.0,73.0,63.0,136.0,0.0,0.0,0.0,268.0,284.0,552.0,72.0,73.0,145.0,3.0,7.0,10.0,30.0,32.0,62.0,31.0,31.0,62.0,0.0,0.0,0.0,77.0,105.0,182.0,191.0,197.0,388.0,0.11580161476355248,7934000,33925000,45504000,73512000,19579000,10274000
103120,Sylacauga City,2051,573,0.27899999999999997,AL,0.0,0.0,0.0,1.0,0.0,1.0,125.0,127.0,252.0,3.0,3.0,6.0,246.0,242.0,488.0,7.0,8.0,15.0,0.0,0.0,0.0,1.0,1.0,2.0,12.0,6.0,18.0,0.0,0.0,0.0,55.0,79.0,134.0,148.0,139.0,287.0,0.11580161476355248,6509000,15111000,6642000,26755000,8883000,5281000
100180,Attalla City,1486,458,0.308,AL,1.0,0.0,1.0,1.0,0.0,1.0,31.0,26.0,57.0,1.0,0.0,1.0,215.0,202.0,417.0,18.0,23.0,41.0,12.0,8.0,20.0,5.0,5.0,10.0,20.0,14.0,34.0,0.0,0.0,0.0,37.0,52.0,89.0,164.0,160.0,324.0,0.2839756592292089,3886000,12048000,3115000,18161000,6004000,3601000
103180,Talladega County,6861,1649,0.24,AL,3.0,0.0,3.0,1.0,2.0,3.0,196.0,179.0,375.0,6.0,20.0,26.0,700.0,739.0,1439.0,20.0,27.0,47.0,3.0,0.0,3.0,0.0,7.0,7.0,24.0,30.0,54.0,0.0,2.0,2.0,153.0,254.0,407.0,564.0,601.0,1165.0,0.2839756592292089,16230000,55350000,28442000,93246000,26817000,17845000
100185,Saraland City,3318,601,0.18100000000000002,AL,5.0,1.0,6.0,1.0,3.0,4.0,60.0,52.0,112.0,0.0,4.0,4.0,249.0,209.0,458.0,6.0,6.0,12.0,2.0,3.0,5.0,2.0,5.0,7.0,18.0,19.0,37.0,1.0,0.0,1.0,39.0,66.0,105.0,231.0,198.0,429.0,0.1252498334443704,5452000,24503000,15288000,50539000,11775000,6924000
100188,Chickasaw City,2571,289,0.11199999999999999,AL,0.0,0.0,0.0,0.0,0.0,0.0,92.0,92.0,184.0,0.0,0.0,0.0,138.0,135.0,273.0,6.0,4.0,10.0,5.0,0.0,5.0,1.0,1.0,2.0,4.0,8.0,12.0,0.0,0.0,0.0,29.0,44.0,73.0,40.0,43.0,83.0,0.330122591943958,5189000,19151000,3817000,27525000,5303000,3144000
100189,Satsuma City,1464,220,0.15,AL,3.0,2.0,5.0,2.0,1.0,3.0,6.0,13.0,19.0,3.0,0.0,3.0,69.0,76.0,145.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,8.0,0.0,1.0,1.0,19.0,32.0,51.0,89.0,92.0,181.0,0.09511343804537521,2313000,11945000,5090000,18706000,5817000,3173000
100190,Alabaster City,6318,977,0.155,AL,2.0,3.0,5.0,2.0,1.0,3.0,88.0,66.0,154.0,0.0,4.0,4.0,354.0,303.0,657.0,134.0,112.0,246.0,5.0,5.0,10.0,45.0,53.0,98.0,13.0,8.0,21.0,0.0,0.0,0.0,70.0,105.0,175.0,295.0,253.0,548.0,0.10586638516060926,9915000,50231000,39777000,94774000,28323000,15506000
102190,Macon County,1720,428,0.249,AL,0.0,1.0,1.0,0.0,0.0,0.0,193.0,190.0,383.0,3.0,1.0,4.0,186.0,199.0,385.0,2.0,6.0,8.0,2.0,3.0,5.0,1.0,1.0,2.0,7.0,15.0,22.0,0.0,0.0,0.0,21.0,62.0,83.0,3.0,11.0,14.0,0.10586638516060926,12135000,16375000,7888000,34680000,8259000,6143000
100194,Pelham City,3410,536,0.157,AL,2.0,0.0,2.0,6.0,3.0,9.0,29.0,37.0,66.0,0.0,1.0,1.0,185.0,165.0,350.0,89.0,76.0,165.0,0.0,1.0,1.0,39.0,34.0,73.0,22.0,15.0,37.0,1.0,0.0,1.0,34.0,59.0,93.0,132.0,124.0,256.0,0.10085889570552148,6059000,24733000,27278000,53759000,13934000,7953000
100195,Pike Road City,2690,281,0.10400000000000001,AL,1.0,0.0,1.0,4.0,4.0,8.0,51.0,48.0,99.0,0.0,3.0,3.0,62.0,71.0,133.0,17.0,19.0,36.0,0.0,1.0,1.0,4.0,8.0,12.0,3.0,6.0,9.0,0.0,0.0,0.0,19.0,28.0,47.0,61.0,67.0,128.0,0.05322128851540616,1749000,20475000,8815000,33667000,9093000,5124000
100202,Gulf Shores City,2388,247,0.10300000000000001,AL,3.0,1.0,4.0,0.0,0.0,0.0,8.0,12.0,20.0,1.0,2.0,3.0,83.0,81.0,164.0,10.0,6.0,16.0,0.0,0.0,0.0,4.0,1.0,5.0,7.0,3.0,10.0,0.0,0.0,0.0,23.0,22.0,45.0,97.0,100.0,197.0,0.11128048780487805,4240000,9600000,25024000,38003000,10172000,5351000
100210,Auburn City,9461,1074,0.114,AL,0.0,1.0,1.0,23.0,28.0,51.0,182.0,186.0,368.0,1.0,0.0,1.0,343.0,331.0,674.0,83.0,73.0,156.0,16.0,11.0,27.0,53.0,59.0,112.0,27.0,23.0,50.0,2.0,2.0,4.0,88.0,153.0,241.0,230.0,214.0,444.0,0.10230456394035246,9925000,65320000,80481000,137574000,36023000,21169000
103210,Tallapoosa County,2686,582,0.217,AL,0.0,0.0,0.0,0.0,0.0,0.0,82.0,81.0,163.0,3.0,0.0,3.0,241.0,249.0,490.0,4.0,11.0,15.0,0.0,0.0,0.0,0.0,2.0,2.0,11.0,8.0,19.0,1.0,0.0,1.0,50.0,77.0,127.0,184.0,200.0,384.0,0.10230456394035246,7268000,19567000,14433000,46534000,12237000,7163000
100240,Autauga County,9027,2567,0.284,AL,3.0,2.0,5.0,11.0,11.0,22.0,320.0,332.0,652.0,5.0,0.0,5.0,916.0,993.0,1909.0,72.0,80.0,152.0,24.0,26.0,50.0,27.0,34.0,61.0,41.0,52.0,93.0,2.0,1.0,3.0,191.0,368.0,559.0,800.0,840.0,1640.0,0.16443850267379678,18710000,68710000,24226000,103016000,33723000,20691000
103240,Tallassee City,1481,483,0.326,AL,0.0,1.0,1.0,1.0,1.0,2.0,65.0,79.0,144.0,5.0,5.0,10.0,211.0,221.0,432.0,10.0,7.0,17.0,6.0,6.0,12.0,3.0,6.0,9.0,13.0,6.0,19.0,0.0,0.0,0.0,53.0,78.0,131.0,145.0,155.0,300.0,0.16443850267379678,3212000,11898000,6544000,28381000,7419000,3979000
100270,Baldwin County,30762,6310,0.205,AL,20.0,16.0,36.0,10.0,9.0,19.0,418.0,380.0,798.0,0.0,0.0,0.0,2443.0,2493.0,4936.0,474.0,468.0,942.0,68.0,59.0,127.0,247.0,238.0,485.0,347.0,314.0,661.0,4.0,2.0,6.0,560.0,913.0,1473.0,1903.0,1945.0,3848.0,0.12870994601273134,55636000,196974000,275690000,446541000,135780000,76836000
103270,Tarrant City,1252,490,0.391,AL,7.0,6.0,13.0,0.0,0.0,0.0,131.0,148.0,279.0,1.0,1.0,2.0,226.0,236.0,462.0,80.0,72.0,152.0,5.0,11.0,16.0,61.0,62.0,123.0,7.0,4.0,11.0,5.0,9.0,14.0,26.0,61.0,87.0,9.0,12.0,21.0,0.12870994601273134,5444000,10044000,3786000,18277000,4565000,3089000
100300,Barbour County,683,86,0.126,AL,0.0,1.0,1.0,2.0,0.0,2.0,25.0,20.0,45.0,0.0,0.0,0.0,45.0,31.0,76.0,16.0,11.0,27.0,0.0,0.0,0.0,8.0,3.0,11.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,5.0,3.0,6.0,9.0,0.3539568345323741,5709000,5102000,2486000,12656000,3337000,2217000
103300,Thomasville City,1008,157,0.156,AL,0.0,0.0,0.0,1.0,0.0,1.0,53.0,33.0,86.0,1.0,0.0,1.0,85.0,56.0,141.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,11.0,16.0,27.0,38.0,27.0,65.0,0.3539568345323741,3049000,9589000,3909000,17648000,4737000,2958000
100330,Bessemer City,3121,1274,0.408,AL,2.0,1.0,3.0,0.0,0.0,0.0,516.0,503.0,1019.0,0.0,1.0,1.0,591.0,573.0,1164.0,103.0,89.0,192.0,7.0,8.0,15.0,58.0,58.0,116.0,16.0,22.0,38.0,0.0,0.0,0.0,56.0,123.0,179.0,8.0,14.0,22.0,0.3829342013485236,13709000,24274000,14196000,49364000,13135000,8959000
103330,Troy City,1706,504,0.295,AL,0.0,0.0,0.0,3.0,2.0,5.0,154.0,184.0,338.0,1.0,2.0,3.0,190.0,229.0,419.0,5.0,8.0,13.0,2.0,2.0,4.0,1.0,5.0,6.0,9.0,18.0,27.0,0.0,0.0,0.0,40.0,86.0,126.0,59.0,62.0,121.0,0.3829342013485236,6774000,13653000,8049000,25850000,7776000,4278000
100360,Bibb County,2984,824,0.276,AL,0.0,0.0,0.0,0.0,0.0,0.0,82.0,104.0,186.0,0.0,0.0,0.0,327.0,361.0,688.0,12.0,19.0,31.0,2.0,4.0,6.0,10.0,11.0,21.0,8.0,8.0,16.0,0.0,0.0,0.0,67.0,124.0,191.0,284.0,307.0,591.0,0.2041522491349481,8528000,30335000,8947000,52899000,12209000,8107000
103360,Tuscaloosa City,10514,2485,0.23600000000000002,AL,4.0,2.0,6.0,8.0,13.0,21.0,1021.0,1012.0,2033.0,0.0,2.0,2.0,1084.0,1090.0,2174.0,57.0,54.0,111.0,42.0,43.0,85.0,40.0,45.0,85.0,8.0,21.0,29.0,2.0,6.0,8.0,156.0,303.0,459.0,137.0,140.0,277.0,0.2041522491349481,31224000,73374000,68842000,157913000,44377000,28621000
100390,Birmingham City,20257,6374,0.315,AL,2.0,3.0,5.0,1.0,0.0,1.0,2425.0,3232.0,5657.0,35.0,45.0,80.0,2597.0,3369.0,5966.0,264.0,298.0,562.0,59.0,59.0,118.0,151.0,193.0,344.0,34.0,33.0,67.0,5.0,8.0,13.0,321.0,708.0,1029.0,23.0,46.0,69.0,0.36261696123570475,83478000,157853000,118910000,338413000,86851000,55278000
103390,Tuscaloosa County,18560,4179,0.225,AL,8.0,9.0,17.0,6.0,6.0,12.0,695.0,758.0,1453.0,7.0,2.0,9.0,1622.0,1825.0,3447.0,179.0,211.0,390.0,28.0,36.0,64.0,78.0,135.0,213.0,46.0,40.0,86.0,0.0,0.0,0.0,376.0,716.0,1092.0,1073.0,1148.0,2221.0,0.36261696123570475,37793000,147569000,68621000,241487000,73730000,43379000
100420,Blount County,7596,784,0.10300000000000001,AL,3.0,1.0,4.0,1.0,1.0,2.0,4.0,8.0,12.0,3.0,4.0,7.0,320.0,305.0,625.0,45.0,53.0,98.0,7.0,5.0,12.0,17.0,23.0,40.0,8.0,11.0,19.0,2.0,0.0,2.0,81.0,109.0,190.0,330.0,317.0,647.0,0.15437636761487966,17782000,65432000,20037000,96514000,30263000,18431000
103420,Tuscumbia City,1469,363,0.247,AL,0.0,0.0,0.0,0.0,0.0,0.0,52.0,53.0,105.0,1.0,0.0,1.0,152.0,158.0,310.0,6.0,7.0,13.0,0.0,0.0,0.0,2.0,2.0,4.0,19.0,19.0,38.0,0.0,0.0,0.0,26.0,46.0,72.0,100.0,107.0,207.0,0.15437636761487966,4174000,10663000,5415000,22189000,6090000,3759000
100450,Brewton City,1180,240,0.203,AL,0.0,2.0,2.0,0.0,1.0,1.0,41.0,32.0,73.0,0.0,0.0,0.0,100.0,71.0,171.0,5.0,3.0,8.0,0.0,0.0,0.0,4.0,5.0,9.0,6.0,3.0,9.0,1.0,0.0,1.0,17.0,26.0,43.0,87.0,59.0,146.0,0.26976744186046514,3985000,10462000,6592000,19636000,5653000,3143000
103450,Walker County,6814,1618,0.237,AL,1.0,2.0,3.0,0.0,1.0,1.0,29.0,41.0,70.0,0.0,1.0,1.0,648.0,726.0,1374.0,16.0,28.0,44.0,21.0,20.0,41.0,7.0,11.0,18.0,25.0,29.0,54.0,0.0,0.0,0.0,138.0,292.0,430.0,689.0,757.0,1446.0,0.26976744186046514,18548000,60275000,25527000,97455000,30418000,18475000
100480,Bullock County,1353,288,0.213,AL,0.0,0.0,0.0,0.0,0.0,0.0,110.0,142.0,252.0,2.0,0.0,2.0,122.0,156.0,278.0,15.0,14.0,29.0,1.0,1.0,2.0,5.0,13.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,36.0,44.0,1.0,5.0,6.0,0.3716349310571241,8001000,11798000,3406000,22361000,4984000,3316000
102480,Morgan County,7428,1410,0.19,AL,2.0,2.0,4.0,3.0,2.0,5.0,17.0,30.0,47.0,1.0,2.0,3.0,533.0,593.0,1126.0,75.0,64.0,139.0,6.0,4.0,10.0,25.0,29.0,54.0,25.0,22.0,47.0,1.0,0.0,1.0,120.0,251.0,371.0,544.0,623.0,1167.0,0.3716349310571241,14426000,57252000,37206000,106382000,29953000,18136000
103480,Washington County,2433,727,0.299,AL,51.0,41.0,92.0,1.0,2.0,3.0,69.0,66.0,135.0,1.0,0.0,1.0,280.0,294.0,574.0,9.0,4.0,13.0,6.0,5.0,11.0,0.0,0.0,0.0,9.0,8.0,17.0,1.0,2.0,3.0,61.0,117.0,178.0,212.0,252.0,464.0,0.3716349310571241,6069000,19262000,7530000,31324000,10727000,6397000
100510,Butler County,2753,1089,0.396,AL,2.0,1.0,3.0,1.0,1.0,2.0,290.0,341.0,631.0,0.0,2.0,2.0,487.0,541.0,1028.0,16.0,14.0,30.0,27.0,15.0,42.0,2.0,2.0,4.0,19.0,11.0,30.0,0.0,0.0,0.0,64.0,161.0,225.0,186.0,207.0,393.0,0.34602757715036114,10007000,22516000,9777000,40133000,11106000,6908000
103510,Wilcox County,1140,263,0.231,AL,0.0,0.0,0.0,0.0,0.0,0.0,131.0,124.0,255.0,0.0,0.0,0.0,133.0,125.0,258.0,1.0,0.0,1.0,6.0,11.0,17.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,19.0,30.0,49.0,2.0,1.0,3.0,0.34602757715036114,7432000,12384000,5981000,24188000,6020000,4468000
100540,Calhoun County,7791,1680,0.21600000000000003,AL,1.0,5.0,6.0,3.0,2.0,5.0,81.0,82.0,163.0,52.0,44.0,96.0,699.0,705.0,1404.0,47.0,39.0,86.0,31.0,26.0,57.0,13.0,11.0,24.0,26.0,21.0,47.0,1.0,4.0,5.0,153.0,271.0,424.0,675.0,693.0,1368.0,0.20498704663212436,17784000,66011000,25825000,103285000,32164000,21097000
103540,Winfield City,1206,95,0.079,AL,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,0.0,0.0,0.0,43.0,42.0,85.0,2.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,29.0,42.0,43.0,85.0,0.20498704663212436,2823000,10113000,4402000,16548000,5630000,3245000
100600,Chambers County,3003,591,0.19699999999999998,AL,0.0,0.0,0.0,0.0,0.0,0.0,130.0,125.0,255.0,7.0,8.0,15.0,246.0,239.0,485.0,19.0,16.0,35.0,0.0,0.0,0.0,8.0,6.0,14.0,12.0,4.0,16.0,0.0,0.0,0.0,54.0,105.0,159.0,140.0,145.0,285.0,0.21753958587088915,9462000,24830000,10268000,42681000,13095000,8734000
100630,Cherokee County,3738,862,0.231,AL,3.0,2.0,5.0,2.0,0.0,2.0,10.0,17.0,27.0,4.0,5.0,9.0,377.0,389.0,766.0,15.0,12.0,27.0,43.0,64.0,107.0,5.0,4.0,9.0,18.0,13.0,31.0,2.0,0.0,2.0,74.0,129.0,203.0,379.0,389.0,768.0,0.20022340128455737,9616000,29545000,14791000,53575000,16810000,9997000
100660,Chilton County,7561,1600,0.212,AL,1.0,2.0,3.0,5.0,2.0,7.0,93.0,74.0,167.0,8.0,6.0,14.0,719.0,703.0,1422.0,126.0,123.0,249.0,1.0,1.0,2.0,35.0,51.0,86.0,49.0,43.0,92.0,0.0,0.0,0.0,127.0,198.0,325.0,545.0,537.0,1082.0,0.18951418951418952,19844000,59922000,16538000,89712000,28343000,17094000
101660,Geneva County,2672,410,0.153,AL,0.0,0.0,0.0,1.0,0.0,1.0,28.0,22.0,50.0,0.0,0.0,0.0,189.0,171.0,360.0,26.0,20.0,46.0,0.0,0.0,0.0,5.0,8.0,13.0,10.0,6.0,16.0,1.0,0.0,1.0,36.0,61.0,97.0,147.0,149.0,296.0,0.18951418951418952,9997000,23465000,6565000,38051000,11481000,6623000
100690,Choctaw County,1040,252,0.242,AL,1.0,2.0,3.0,0.0,0.0,0.0,57.0,53.0,110.0,0.0,0.0,0.0,101.0,126.0,227.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,18.0,43.0,61.0,52.0,76.0,128.0,0.3250423968343697,4322000,8421000,7359000,18788000,4336000,3471000
101690,Guntersville City,1787,467,0.261,AL,0.0,2.0,2.0,0.0,1.0,1.0,34.0,21.0,55.0,0.0,0.0,0.0,170.0,160.0,330.0,13.0,17.0,30.0,11.0,11.0,22.0,7.0,4.0,11.0,14.0,10.0,24.0,0.0,0.0,0.0,34.0,44.0,78.0,189.0,166.0,355.0,0.3250423968343697,4674000,12853000,11188000,33381000,7749000,4643000
100720,Clarke County,2122,372,0.175,AL,1.0,1.0,2.0,0.0,3.0,3.0,82.0,116.0,198.0,0.0,1.0,1.0,145.0,171.0,316.0,2.0,5.0,7.0,2.0,1.0,3.0,2.0,4.0,6.0,8.0,9.0,17.0,0.0,0.0,0.0,21.0,56.0,77.0,78.0,67.0,145.0,0.2841490138787436,12258000,19485000,8606000,39593000,9889000,6721000
101720,Haleyville City,1573,279,0.177,AL,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,2.0,2.0,126.0,123.0,249.0,10.0,13.0,23.0,1.0,0.0,1.0,5.0,8.0,13.0,8.0,4.0,12.0,0.0,0.0,0.0,29.0,48.0,77.0,117.0,122.0,239.0,0.2841490138787436,4420000,13108000,5330000,22908000,7788000,4252000
100750,Clay County,1769,399,0.226,AL,0.0,1.0,1.0,2.0,1.0,3.0,37.0,21.0,58.0,1.0,1.0,2.0,196.0,165.0,361.0,11.0,13.0,24.0,3.0,2.0,5.0,2.0,2.0,4.0,19.0,21.0,40.0,0.0,1.0,1.0,42.0,53.0,95.0,144.0,128.0,272.0,0.22493100275988961,5148000,14668000,3693000,21410000,7039000,4277000
100780,Cleburne County,2404,572,0.23800000000000002,AL,0.0,1.0,1.0,3.0,0.0,3.0,9.0,12.0,21.0,3.0,7.0,10.0,273.0,215.0,488.0,16.0,11.0,27.0,7.0,7.0,14.0,4.0,0.0,4.0,8.0,4.0,12.0,0.0,0.0,0.0,56.0,86.0,142.0,277.0,231.0,508.0,0.19393485585922876,5011000,22197000,6190000,31684000,9879000,6018000
100810,Coffee County,2727,588,0.21600000000000003,AL,4.0,7.0,11.0,0.0,0.0,0.0,7.0,23.0,30.0,4.0,2.0,6.0,234.0,256.0,490.0,35.0,27.0,62.0,16.0,20.0,36.0,16.0,10.0,26.0,11.0,8.0,19.0,0.0,1.0,1.0,39.0,83.0,122.0,223.0,242.0,465.0,0.1790058170280275,6921000,21367000,7143000,34922000,9401000,5300000
100840,Colbert County,2487,661,0.266,AL,3.0,0.0,3.0,0.0,0.0,0.0,39.0,26.0,65.0,0.0,0.0,0.0,298.0,291.0,589.0,18.0,19.0,37.0,21.0,16.0,37.0,1.0,5.0,6.0,11.0,12.0,23.0,0.0,0.0,0.0,90.0,131.0,221.0,263.0,270.0,533.0,0.19248826291079812,7108000,18739000,13731000,38965000,12575000,8002000
100870,Conecuh County,1406,287,0.204,AL,0.0,0.0,0.0,0.0,0.0,0.0,109.0,116.0,225.0,0.0,0.0,0.0,121.0,145.0,266.0,1.0,8.0,9.0,0.0,0.0,0.0,1.0,6.0,7.0,4.0,7.0,11.0,0.0,0.0,0.0,26.0,44.0,70.0,15.0,27.0,42.0,0.416514875531269,4343000,16368000,5466000,23076000,6437000,4575000
100900,Coosa County,805,203,0.252,AL,0.0,0.0,0.0,0.0,0.0,0.0,35.0,43.0,78.0,1.0,0.0,1.0,94.0,91.0,185.0,3.0,5.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,7.0,0.0,0.0,0.0,20.0,37.0,57.0,61.0,49.0,110.0,0.2754098360655738,4663000,6249000,5309000,15168000,3298000,2330000
